timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605526786619,2435,Amazon HomePage,200,OK,Amazon_Thread group 1-67,text,true,,105776,391,100,100,https://www.amazon.com/,875,0,36
1605526787959,1105,Cart Page,200,OK,Amazon_Thread group 1-56,text,true,,76727,427,100,100,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,361,0,40
1605526787989,1076,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-27,text,true,,72154,464,100,100,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,490,0,0
1605526788092,990,Cart Page,200,OK,Amazon_Thread group 1-49,text,true,,75965,427,100,100,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,361,0,53
1605526787929,1158,Cart Page,200,OK,Amazon_Thread group 1-40,text,true,,74318,427,100,100,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,354,0,40
1605526787820,1270,Amazon HomePage,200,OK,Amazon_Thread group 1-91,text,true,,99064,391,100,100,https://www.amazon.com/,296,0,48
1605526788090,1005,Today's Deals,200,OK,Amazon_Thread group 1-79,text,true,,109151,465,100,100,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,421,0,41
1605526788108,1003,Cart Page,200,OK,Amazon_Thread group 1-52,text,true,,75501,427,100,100,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,358,0,44
1605526787730,1385,Today's Deals,200,OK,Amazon_Thread group 1-72,text,true,,108965,465,100,100,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,800,0,51
1605526788045,1085,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-32,text,true,,74129,464,100,100,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,499,0,0
1605526787005,2136,Today's Deals,200,OK,Amazon_Thread group 1-57,text,true,,115134,465,100,100,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,767,0,58
1605526787644,1548,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-20,text,true,,72116,464,100,100,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,572,0,0
1605526787826,1380,Today's Deals,200,OK,Amazon_Thread group 1-73,text,true,,113557,465,100,100,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,794,0,46
1605526787736,1479,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-13,text,true,,74037,464,100,100,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,499,0,0
1605526787703,1517,Today's Deals,200,OK,Amazon_Thread group 1-62,text,true,,114453,465,100,100,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,731,0,43
1605526786680,2541,Today's Deals,200,OK,Amazon_Thread group 1-51,text,true,,106986,465,100,100,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,978,0,43
1605526787769,1455,Amazon HomePage,200,OK,Amazon_Thread group 1-90,text,true,,100108,391,100,100,https://www.amazon.com/,892,0,42
1605526788213,1012,Today's Deals,200,OK,Amazon_Thread group 1-85,text,true,,109404,465,100,100,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,380,0,36
1605526787966,1263,Amazon HomePage,200,OK,Amazon_Thread group 1-94,text,true,,99475,391,100,100,https://www.amazon.com/,695,0,37
1605526788174,1067,SLP: Search listing Page,200,OK,Amazon_Thread group 1-10,text,true,,133624,422,100,100,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,241,0,0
1605526787736,1530,Cart Page,200,OK,Amazon_Thread group 1-44,text,true,,73971,427,99,99,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,360,0,51
1605526788242,1046,Cart Page,200,OK,Amazon_Thread group 1-54,text,true,,75772,427,99,99,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,367,0,58
1605526787619,1675,Amazon HomePage,200,OK,Amazon_Thread group 1-87,text,true,,97981,391,99,99,https://www.amazon.com/,308,0,61
1605526788266,1032,Today's Deals,200,OK,Amazon_Thread group 1-74,text,true,,109080,465,99,99,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,445,0,54
1605526788217,1097,Amazon HomePage,200,OK,Amazon_Thread group 1-99,text,true,,100929,391,99,99,https://www.amazon.com/,313,0,41
1605526787968,1351,Today's Deals,200,OK,Amazon_Thread group 1-65,text,true,,112013,465,99,99,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,764,0,33
1605526788206,1120,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-6,text,true,,74083,464,99,99,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,523,0,0
1605526787290,2043,Today's Deals,200,OK,Amazon_Thread group 1-63,text,true,,119714,465,99,99,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,1453,0,39
1605526788269,1076,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-23,text,true,,73256,464,99,99,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,487,0,0
1605526787939,1408,Today's Deals,200,OK,Amazon_Thread group 1-76,text,true,,113448,465,99,99,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,788,0,31
1605526787529,1819,Today's Deals,200,OK,Amazon_Thread group 1-50,text,true,,113710,465,99,99,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,835,0,62
1605526788346,1004,Today's Deals,200,OK,Amazon_Thread group 1-84,text,true,,109547,465,99,99,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,407,0,39
1605526787771,1583,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-17,text,true,,74090,464,99,99,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,500,0,0
1605526788275,1084,SLP: Search listing Page,200,OK,Amazon_Thread group 1-19,text,true,,130430,422,99,99,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,241,0,0
1605526788135,1227,SLP: Search listing Page,200,OK,Amazon_Thread group 1-12,text,true,,132725,422,98,98,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,248,0,0
1605526788240,1148,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-31,text,true,,72277,464,97,97,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,531,0,0
1605526788119,1273,Amazon HomePage,200,OK,Amazon_Thread group 1-97,text,true,,103003,391,97,97,https://www.amazon.com/,687,0,51
1605526788367,1035,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-33,text,true,,74561,464,97,97,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,450,0,0
1605526787836,1587,Cart Page,200,OK,Amazon_Thread group 1-42,text,true,,75536,427,97,97,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,358,0,43
1605526788232,1219,Today's Deals,200,OK,Amazon_Thread group 1-82,text,true,,109608,465,97,97,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,438,0,57
